id,line,audio_path,duration_sec,current_category,annotation_status,reference_text,expected_clean,decision,final_category,reviewer_notes
heuristic_repetition_0026,14425,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000074__HB0k410bug_TEST_NET_Y0000000074__HB0k410bug_S00091.wav,3.33,repetition,curated,吉尔妈妈发现吉尔在角落里蹲着过去拽她,吉尔妈妈发现吉尔在角落里蹲着过去拽她,keep,passthrough,
heuristic_repetition_0027,2547,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000012_38miTB0gDQs_TEST_NET_Y0000000012_38miTB0gDQs_S00018.wav,4.84,repetition,curated,那林潇潇为什么失踪呢他为什么向唐骏忏悔,那林潇潇为什么失踪呢他为什么向唐骏忏悔,keep,passthrough,
heuristic_repetition_0028,23152,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000109_scA1qYR0krU_TEST_NET_Y0000000109_scA1qYR0krU_S00095.wav,7.4,repetition,curated,而不是盲目地去认为新的就好把牛都杀光了然后你你去用什么什么乌鸦肉去替代牛肉,而不是盲目地去认为新的就好把牛都杀光了然后你去用什么乌鸦肉去替代牛肉,correct,repetition,
heuristic_repetition_0029,9347,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000050_LOLTeK1BNMo_TEST_NET_Y0000000050_LOLTeK1BNMo_S00191.wav,7.45,repetition,curated,短短半年多就暴肥两百多斤呢食物背后究竟还有什么隐藏的元凶,短短半年多就暴肥两百多斤呢食物背后究竟还有什么隐藏的元凶,keep,passthrough,
heuristic_repetition_0030,14914,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000081_ceIGL_DHoSk_TEST_NET_Y0000000081_ceIGL_DHoSk_S00069.wav,7.57,repetition,curated,我赶紧把伸出去的手缩回来战战兢兢的看着洛爷和九爷眼泪不住的往下流,我赶紧把伸出去的手缩回来战战兢兢的看着洛爷和九爷眼泪不住的往下流,keep,passthrough,
heuristic_repetition_0031,8631,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000046_JcdSMHc9K0o_TEST_NET_Y0000000046_JcdSMHc9K0o_S00138.wav,3.39,repetition,curated,OK所以呢就是其实我我这个两年半这个整个儿,OK就是我这个两年半整个儿,correct,filler_repetition,
heuristic_repetition_0032,2072,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000009_26OUqTzrzv0_TEST_NET_Y0000000009_26OUqTzrzv0_S00874.wav,1.21,repetition,curated,嗯没事儿蹭蹭了一下,嗯没事儿蹭了一下,correct,repetition,
heuristic_repetition_0033,2776,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000012_38miTB0gDQs_TEST_NET_Y0000000012_38miTB0gDQs_S00247.wav,6.67,repetition,curated,我答应过爸爸妈妈的我会成为最优秀的护士专门照顾绝症病人,我答应过爸爸妈妈的我会成为最优秀的护士专门照顾绝症病人,keep,passthrough,
heuristic_repetition_0034,24620,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000122_zb0dLCYAFug_TEST_NET_Y0000000122_zb0dLCYAFug_S00042.wav,6.8,repetition,curated,佑太尝了口甜米酒不由赞叹一声好喝酸酸甜甜的米酒仿佛偷换了时空,佑太尝了口甜米酒不由赞叹一声好喝酸酸甜甜的米酒仿佛偷换了时空,keep,passthrough,
heuristic_repetition_0035,11929,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000062_S3a90HGEYn8_TEST_NET_Y0000000062_S3a90HGEYn8_S00050.wav,7.48,repetition,curated,十二加上二百五十六G的版本三千四百九十九相比于IQOO七八PRO的质感更加精致二K分辨率的屏幕也观感出色,十二加上二百五十六G的版本三千四百九十九相比于IQOO七八PRO的质感更加精致二K分辨率的屏幕也观感出色,keep,passthrough,
heuristic_repetition_0036,9327,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000050_LOLTeK1BNMo_TEST_NET_Y0000000050_LOLTeK1BNMo_S00171.wav,5.6,repetition,curated,就是想通过一个行为测试看看李超在面对难题时的真实反应,就是想通过一个行为测试看看李超在面对难题时的真实反应,keep,passthrough,
heuristic_repetition_0037,798,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000003_0l7Ov1lh8pk_TEST_NET_Y0000000003_0l7Ov1lh8pk_S00193.wav,6.59,repetition,curated,俺需要男人的时候谁帮俺谁帮俺解决,俺需要男人的时候谁帮俺解决,correct,repetition,
heuristic_repetition_0038,3397,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000019_5KnkUBBVqis_TEST_NET_Y0000000019_5KnkUBBVqis_S00110.wav,5.04,repetition,curated,慢慢的站了起来他才是这次电锯惊魂游戏真正幕后的BOSS,慢慢的站了起来他才是这次电锯惊魂游戏真正幕后的BOSS,keep,passthrough,
heuristic_repetition_0039,11281,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000059_OapfqJR7_Yg_TEST_NET_Y0000000059_OapfqJR7_Yg_S00082.wav,2.65,repetition,curated,而且这么极端地去去去反应,而且这么极端地去去去反应,correct,repetition,
heuristic_repetition_0040,12953,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000067_VW64c28XP5Y_TEST_NET_Y0000000067_VW64c28XP5Y_S00033.wav,3.93,repetition,curated,现在都会很喜欢吃饭了刚开始怀孕的时候感觉肚子胀胀的,现在都会很喜欢吃饭了刚开始怀孕的时候感觉肚子胀胀的,keep,passthrough,
heuristic_filler_0041,8309,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000044_HrQ-YhkhUNQ_TEST_NET_Y0000000044_HrQ-YhkhUNQ_S00094.wav,7.11,filler,curated,但千万别因为几项评分儿低呃就觉得它不好啊恰恰相反它是旗舰机里最实用价格也最接地气的,但千万别因为几项评分儿低呃就觉得它不好啊恰恰相反它是旗舰机里最实用价格也最接地气的,keep,passthrough,
heuristic_filler_0042,4275,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000023_6bDGVHqtuFk_TEST_NET_Y0000000023_6bDGVHqtuFk_S00080.wav,8.2,filler,curated,换句话说吧今天这场吐槽大会啊请我一个人就够了你看导演组请那么多人干啥花多少钱啊对吧那个张泉灵,换句话说吧今天这场吐槽大会啊请我一个人就够了你看导演组请那么多人干啥花多少钱啊对吧那个张泉灵,keep,passthrough,
heuristic_filler_0043,3044,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000017_42rrCB6ReDc_TEST_NET_Y0000000017_42rrCB6ReDc_S00059.wav,6.79,filler,curated,当然就是说我们今天看到的使用公积金强度比较高的是那些中低住宅中低收入的群体,当然就是说我们今天看到的使用公积金强度比较高的是那些中低住宅中低收入的群体,keep,passthrough,
heuristic_filler_0044,2369,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000011_2VtB6BbL4iU_TEST_NET_Y0000000011_2VtB6BbL4iU_S00188.wav,2.17,filler,curated,您这可是不讲兄弟交情啊,您这可是不讲兄弟交情啊,keep,passthrough,
heuristic_filler_0045,24747,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000122_zb0dLCYAFug_TEST_NET_Y0000000122_zb0dLCYAFug_S00169.wav,6.52,filler,curated,然后发出啊的一声赞叹和噗嗤的笑声你看吃是多有意义的一件事,然后发出啊的一声赞叹和噗嗤的笑声你看吃是多有意义的一件事,keep,passthrough,
heuristic_filler_0046,9481,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000051_LhvfBuJ7FuY_TEST_NET_Y0000000051_LhvfBuJ7FuY_S00058.wav,6.3,filler,curated,保佑我啊今天一车梨全部都卖出去卖出去回家给我妈买烧鸡吃保佑保佑大吉大利,保佑我啊今天一车梨全部都卖出去卖出去回家给我妈买烧鸡吃保佑保佑大吉大利,keep,passthrough,
heuristic_filler_0047,23215,/home/aim0/data/datasets/ASR/wenetspeech_test_net/segments/TEST_NET_Y0000000109_scA1qYR0krU_TEST_NET_Y0000000109_scA1qYR0krU_S00158.wav,7.08,filler,curated,嗯巴菲特到到比尔盖茨为什么总是最富的这一帮人在拼命地去做社会公益啊,嗯巴菲特到到比尔盖茨为什么总是最富的这一帮人在拼命地去做社会公益啊,keep,passthrough,
